loss,loss_v,anomalous_test_data_loss
0.0044830884,0.0017443682,0.015920954
0.0034127685,0.005095036,0.02292907
0.0027298692,0.0046830964,0.022620892
0.002753136,0.0034856137,0.018621413
0.005541414,0.008583865,0.033464573
0.009689502,0.021412453,0.019014684
0.009030626,0.0038369328,0.014844455
0.011867191,0.002971688,0.016765533
0.0063240603,0.0044578887,0.026037073
0.008740511,0.027965538,0.17369585
0.0037194344,0.0046846042,0.016367998
0.001749055,0.018458331,0.032699365
0.023151657,0.0024285929,0.020739727
0.0059057507,0.0035455849,0.024955632
0.0028980144,0.0096878605,0.016137725
0.007448811,0.0036216986,0.01901598
0.0034000855,0.015672881,0.01716143
0.0038647621,0.020639868,0.019303096
0.0073625227,0.005048081,0.030407408
0.0061255344,0.0072125695,0.026037073
0.022794673,0.0024399515,0.033748683
0.008571218,0.0047439313,0.016608942
0.0046052574,0.003718392,0.022666821
0.0072366595,0.008694171,0.011808566
0.0037913043,0.004139869,0.017098816
0.0035889484,0.005818146,0.024794659
0.0030758504,0.00454523,0.019687224
0.013006509,0.007032052,0.022962974
0.004440939,0.0051378,0.024151104
0.014560486,0.007965452,0.026156023
0.005139995,0.0032463605,0.026287585
0.016094593,0.0031520755,0.025404433
0.008997082,0.013259585,0.019890262
0.011011428,0.0042223106,0.049735565
0.0029758054,0.00439023,0.02170059
0.008742218,0.0033461226,0.016006371
0.0047223885,0.019057801,0.01474354
0.010508728,0.005254021,0.021653762
0.0037434082,0.005311621,0.030059641
0.0031332253,0.01472213,0.021471666
0.0018242816,0.016752306,0.03106735
0.0038327465,0.0023714101,0.038342696
0.010287517,0.0048491512,0.019251263
0.015502117,0.0032965604,0.03464076
0.004523422,0.0053690686,0.01851668
0.00417258,0.013237067,0.13418931
0.007246599,0.0040639625,0.016748015
0.046481267,0.0035149306,0.018830007
0.003680681,0.003967164,0.034543425
0.0035586674,0.011608259,0.030590108
0.0035087212,0.008648612,0.022582412
0.016368989,,0.022364816
0.003498151,,0.01584622
0.0069211093,,0.02185388
0.0025438115,,0.023939429
0.013955689,,0.023417884
