loss,loss_v,anomalous_test_data_loss
0.21314748,0.20406975,0.19158983
0.22869253,0.21324547,0.24418783
0.22587727,0.20538342,0.18733074
0.22455734,0.2080173,0.18949187
0.2163058,0.2137888,0.18181384
0.21697293,0.21022649,0.1890409
0.21937627,0.21472047,0.19260435
0.2184306,0.21220726,0.19028653
0.22010756,0.22227015,0.18501101
0.2334636,0.2277586,0.1971751
0.23218475,0.20916097,0.24058956
0.23899807,0.23433208,0.18190539
0.21038477,0.21293879,0.18772738
0.23817348,0.21794803,0.18419135
0.2147334,0.20865567,0.19069773
0.23099285,0.21943776,0.18889785
0.2272566,0.24367185,0.18967392
0.21694481,0.2286018,0.18854006
0.21457748,0.2194972,0.18269597
0.22230214,0.22503601,0.18501101
0.23447508,0.22797005,0.183569
0.2165368,0.2328661,0.19072865
0.21028431,0.23888497,0.18893237
0.21149619,0.22868471,0.20003395
0.20698889,0.21711314,0.1903534
0.23076709,0.21618001,0.243245
0.22844791,0.21741755,0.18815434
0.22099082,0.23099391,0.24136078
0.22919421,0.2307704,0.18690066
0.20917632,0.21441984,0.18723977
0.2018838,0.22599582,0.18263455
0.21709992,0.21844041,0.18031377
0.20615184,0.20932238,0.1879344
0.2238582,0.2322442,0.24850003
0.21430872,0.21312277,0.18838392
0.2138168,0.21334541,0.19244277
0.21933277,0.22271948,0.19330002
0.22896238,0.20961626,0.19003578
0.20203435,0.21692693,0.18319951
0.21835785,0.22510718,0.18827109
0.21514499,0.20559697,0.18294823
0.2061892,0.23340745,0.20348485
0.20993686,0.22512783,0.18819545
0.23752166,0.21311437,0.1806836
0.21126078,0.22541697,0.18907076
0.23563872,0.23293929,0.17795904
0.20680232,0.21740685,0.19085729
0.21234798,0.2160653,0.18848653
0.20527916,0.20012026,0.18234445
0.21182537,0.23154397,0.17606544
0.23324442,0.23152192,0.18866897
0.21831734,0.20674236,0.18804817
0.22991306,0.22367518,0.19106121
0.20316565,0.22069067,0.18793893
0.22619236,0.20407379,0.2363889
0.21229468,0.21446042,0.18521862
0.21635406,0.20669587,0.1875184
0.22564656,0.2235965,0.18973033
0.21865706,0.22931318,0.18565834
0.22841431,0.21464117,0.19064462
0.23113842,0.21715255,0.18765254
0.20661287,0.2048095,0.19131248
0.2287888,0.21060054,0.18037523
0.22376291,0.22935586,0.1888992
0.2207223,0.21705993,0.19048834
0.22720535,0.19936065,0.18409753
0.2203211,0.22080171,0.18989718
0.2208854,0.21484888,0.1871351
0.20715094,0.21377973,0.1887954
0.22291827,0.20550402,0.18725865
0.21051423,0.2075135,0.19019616
0.21611445,0.23603255,0.21888284
0.21658002,0.22291432,0.18883677
0.21850984,0.21901703,0.18820369
0.20586844,0.22445561,0.19172756
0.21759756,0.23628338,0.18729155
0.2099878,0.21980369,0.24397592
0.21610272,0.22633906,0.19204545
0.20832483,0.22735067,0.2461477
0.21792452,0.22778468,0.19009255
0.20347673,0.23440516,0.20415978
0.2029918,0.22965582,0.18597531
0.21126056,0.2373168,0.18392451
0.23218964,0.20854573,0.17573059
0.23131216,0.21947408,0.18835844
0.21090354,0.22230113,0.18818028
0.20582254,0.22232139,0.18415381
0.23734845,0.20765758,0.19010437
0.23069249,0.23281173,0.19178636
0.20682037,0.229273,0.18413986
0.21258806,0.21401823,0.1821659
0.23196094,0.22172923,0.19174969
0.22276276,0.22093602,0.18226488
0.20868587,0.21710737,0.1847294
0.23390506,0.22237384,0.1891738
0.21456544,0.22200017,0.19035344
0.2256766,0.22083183,0.19095357
0.20284612,0.19918847,0.18400247
0.20669357,0.22150819,0.18767865
0.21615799,0.20411302,0.18076296
0.20731409,0.21258307,0.18840778
0.22059922,0.22496499,0.17989688
0.21481867,,0.1881389
0.23405604,,0.19216587
0.20471336,,0.21216309
0.215093,,0.18436699
0.22997308,,0.24422689
0.2227541,,0.18816476
0.22954851,,0.18655168
0.22172554,,0.18891852
0.220731,,0.18687975
0.22303255,,0.18695392
0.22053365,,0.19264603
0.21390714,,0.19096895
0.20824617,,0.1886185
0.23783451,,0.18816273
0.20472598,,0.1820458
0.21333675,,0.18949354
0.20843385,,0.1884932
0.20891726,,0.18787418
0.22148363,,0.19024156
0.21075696,,0.18469985
0.21457084,,0.1888903
0.22161603,,0.18970895
0.2253669,,0.18863355
0.22036164,,0.19125809
0.20576227,,0.18420143
0.21474862,,0.2447902
0.22805624,,0.24472885
0.20529391,,0.19719273
0.20800419,,0.18157506
0.22175306,,0.17280813
0.22601473,,0.18973227
0.22360753,,0.18870789
0.22027262,,0.17241819
0.22515239,,0.24776621
0.23172124,,0.2377696
0.22145565,,0.18830043
0.22458096,,0.18150997
0.22254495,,0.1874965
0.22176099,,0.18408255
0.21573816,,0.18163757
0.21485941,,0.19081183
0.2286266,,0.18303166
0.21865197,,0.22141345
0.22066824,,0.18838067
0.22462623,,0.18683533
0.21426058,,0.19012165
0.20544173,,0.18714179
0.20721097,,0.23357338
0.22321534,,0.24407585
0.22088362,,0.18770826
0.19794707,,
0.21418875,,
0.22013998,,
0.2085309,,
0.22385961,,
0.22867525,,
0.21068847,,
0.21157824,,
0.20768309,,
0.2166763,,
0.20846337,,
0.22011276,,
0.20221625,,
0.22746414,,
0.21281154,,
0.20272066,,
0.22569938,,
0.21817017,,
0.20261125,,
0.21651419,,
0.21609712,,
0.22023119,,
0.22108841,,
0.2271514,,
0.22255261,,
0.22745709,,
0.21333373,,
0.21740992,,
0.2127403,,
0.2089588,,
0.22391896,,
0.21984756,,
0.23478092,,
0.20843391,,
0.22604667,,
0.20785268,,
0.21002038,,
0.22711253,,
0.21837853,,
0.21356535,,
0.22950281,,
0.20000015,,
0.20413697,,
0.22965388,,
0.22549148,,
0.21960337,,
0.20230995,,
0.21676779,,
0.20259754,,
0.21703672,,
0.21866773,,
0.22832954,,
0.2302808,,
0.20355146,,
0.2137109,,
0.23006015,,
0.20578478,,
0.22433658,,
0.21726434,,
0.21112984,,
0.214122,,
0.22159438,,
0.23283203,,
0.2254921,,
0.2310751,,
0.22256298,,
0.21336119,,
0.20278132,,
0.2112221,,
0.22491921,,
0.21953191,,
0.20334959,,
0.21408558,,
0.22822404,,
0.21186964,,
0.21470858,,
0.21173374,,
0.22341144,,
0.21482675,,
0.2171187,,
0.2167573,,
0.21695143,,
0.21489112,,
0.21130586,,
0.21479797,,
0.22484563,,
0.2265286,,
0.22446048,,
0.20679368,,
0.2338206,,
0.22959448,,
0.22410703,,
0.20098329,,
0.22711404,,
0.22961943,,
0.23034991,,
0.22260617,,
0.22942723,,
0.22928298,,
0.2224989,,
0.21034455,,
0.21836905,,
0.20688987,,
0.20642145,,
0.22795166,,
0.20559202,,
0.22096758,,
0.20783216,,
0.2228119,,
0.21370085,,
0.23417147,,
0.24106048,,
0.22826295,,
0.22241946,,
0.24034137,,
0.21431017,,
0.20763312,,
0.2147127,,
0.23619597,,
0.2107209,,
0.20482945,,
0.21597902,,
0.23645942,,
0.22664826,,
0.22601102,,
0.21931155,,
0.2118185,,
0.20962216,,
0.2119336,,
0.20625679,,
0.21271323,,
0.22243832,,
0.22768319,,
0.20414793,,
0.23578651,,
0.20595533,,
0.22347479,,
0.20788234,,
0.20997535,,
0.22694393,,
0.23484175,,
0.21854281,,
0.2254622,,
0.21266031,,
0.21723516,,
0.21796972,,
0.21180622,,
0.20610227,,
0.21757941,,
0.21961789,,
0.2206877,,
0.21558,,
0.22360526,,
0.21622626,,
0.22953983,,
0.21006668,,
0.21093898,,
0.21959431,,
0.2173491,,
0.21930926,,
0.22420442,,
0.22598831,,
0.22969294,,
0.22250162,,
0.20894079,,
0.23296678,,
0.20593362,,
0.23066844,,
0.20647013,,
0.20769198,,
0.21265252,,
0.21833825,,
0.22359706,,
0.21741736,,
0.22475381,,
0.20996986,,
0.21689047,,
0.23025846,,
0.22472048,,
0.22411971,,
0.20835574,,
0.23414266,,
0.22187595,,
0.21748777,,
0.21641153,,
0.21458061,,
0.22335249,,
0.20736742,,
0.21086513,,
0.20339614,,
0.2283479,,
0.21930277,,
0.21928369,,
0.2179908,,
0.21271078,,
0.23177417,,
0.21738215,,
0.23028477,,
0.21396697,,
0.2190675,,
0.22535874,,
0.23287736,,
0.22705698,,
0.21605217,,
0.2096576,,
0.22200817,,
0.22579233,,
0.22336441,,
0.24282879,,
0.21444945,,
0.22425641,,
0.21902764,,
0.22122924,,
0.21747394,,
0.21814074,,
0.21386676,,
0.21295941,,
0.20853037,,
0.208776,,
0.21374162,,
0.21757732,,
0.21907444,,
0.20441826,,
0.22651243,,
0.20910937,,
0.22899604,,
0.22937548,,
0.21436422,,
0.21331795,,
0.23440604,,
0.21465544,,
0.20789655,,
0.21291442,,
0.21954042,,
0.21002625,,
0.20348144,,
0.2219786,,
0.22309113,,
0.21436602,,
0.21204157,,
0.2088241,,
0.21693303,,
0.21950603,,
0.20531438,,
0.22007139,,
0.23396981,,
0.216568,,
0.20276849,,
0.21325417,,
0.21852948,,
0.21838282,,
0.21686472,,
0.21602593,,
0.22584343,,
0.20703773,,
0.21946384,,
0.2114749,,
0.22084248,,
0.20833711,,
0.23449457,,
0.20645349,,
0.21413195,,
0.21965784,,
0.20824878,,
0.2220078,,
0.21525759,,
0.21508329,,
0.21777248,,
0.20295928,,
0.2211222,,
0.22728209,,
0.23189335,,
0.21423791,,
0.21995308,,
0.22602491,,
0.21983206,,
0.21295683,,
0.21512283,,
0.22470538,,
0.21001697,,
0.2221921,,
0.22691013,,
0.23978658,,
0.21794647,,
0.2198102,,
0.2364852,,
0.21538615,,
0.21896936,,
0.22437489,,
0.21236975,,
0.19964553,,
0.22595973,,
0.20120107,,
0.21596599,,
0.21052785,,
0.22839709,,
0.22163433,,
0.21963519,,
0.23880143,,
0.21088767,,
0.2397639,,
0.20526356,,
0.21436255,,
0.23414008,,
0.21683924,,
0.22753374,,
0.2143507,,
0.21131611,,
0.21280296,,
0.23377495,,
0.20546384,,
0.22356987,,
0.21514882,,
0.22610505,,
0.2137758,,
0.22370772,,
0.22425692,,
0.22370999,,
0.22044657,,
0.21451831,,
0.22065102,,
0.21862681,,
0.2256391,,
0.2063135,,
0.21606112,,
0.22010358,,
0.21035711,,
0.21765423,,
0.23627496,,
0.21400094,,
0.22897625,,
0.21569657,,
0.20963097,,
0.20890737,,
0.22133572,,
0.20951843,,
0.22722776,,
0.21992882,,
0.22931047,,
0.222489,,
0.21636164,,
0.21724956,,
0.2068193,,
0.21726309,,
0.22409292,,
0.2125697,,
0.23332858,,
0.21638584,,
0.21583639,,
0.21164656,,
0.22469808,,
0.20988917,,
0.22260515,,
0.21925212,,
0.2251479,,
0.23784293,,
0.21612453,,
0.2207179,,
0.2079355,,
0.22496356,,
0.23548974,,
0.2170953,,
0.22391199,,
0.23094286,,
0.23875807,,
0.21583779,,
0.20063193,,
0.20617323,,
0.22513346,,
0.21055144,,
0.20817912,,
0.22564839,,
0.20632689,,
0.22563334,,
0.21933095,,
0.20973511,,
0.21100985,,
0.21447682,,
0.21845011,,
0.21618752,,
0.21016008,,
0.2297587,,
0.21246655,,
0.22383952,,
0.21139546,,
0.23416138,,
0.21409649,,
0.22535418,,
0.22480536,,
0.21504395,,
0.21647282,,
0.21848314,,
0.22208773,,
0.20940037,,
0.212254,,
0.22072871,,
0.20696943,,
0.23335332,,
0.21446793,,
0.22947645,,
0.22114189,,
0.2211739,,
0.21135075,,
0.2273534,,
0.22901125,,
0.22361028,,
0.22991252,,
0.20204584,,
0.23430121,,
0.21629214,,
0.24150406,,
0.2333004,,
0.23723157,,
0.22642565,,
0.21854949,,
0.20903386,,
0.22164814,,
0.21272777,,
0.20753692,,
0.22412647,,
0.21257512,,
0.22322166,,
0.22140288,,
0.2414285,,
0.21794182,,
0.22382052,,
0.20720108,,
0.23068373,,
0.2305366,,
0.22564118,,
0.22461897,,
0.21294914,,
0.2094089,,
0.21209674,,
0.20923598,,
0.22422487,,
0.23041332,,
0.21748805,,
0.23045428,,
0.21085387,,
0.23142026,,
0.21908994,,
0.19840981,,
0.2220689,,
0.21664037,,
0.21927162,,
0.21818827,,
0.22661185,,
0.22026022,,
0.22121008,,
0.19748895,,
0.20460649,,
0.2224499,,
0.21256594,,
0.22424054,,
0.23111732,,
0.21494412,,
0.20753472,,
0.2142247,,
0.2040074,,
0.20679677,,
0.23050271,,
0.2203883,,
0.22766279,,
0.2319355,,
0.21270365,,
0.21992137,,
0.2043072,,
0.23647077,,
0.22266592,,
0.20006724,,
0.21646397,,
0.20853019,,
0.21226974,,
0.22768128,,
0.22399251,,
0.21808647,,
0.22862244,,
0.2018901,,
0.22025473,,
0.2194773,,
0.22238988,,
0.21147186,,
0.2289912,,
0.23533319,,
0.22126262,,
0.20770238,,
0.22386289,,
0.2413519,,
0.20628949,,
0.21073587,,
0.23607905,,
0.20909588,,
0.22683167,,
0.21641594,,
0.22021528,,
0.21670175,,
0.2206318,,
0.20463102,,
0.21431549,,
0.22127867,,
0.20768948,,
0.23079224,,
0.21481152,,
0.22113483,,
0.23112647,,
0.21458296,,
0.2329246,,
0.21655874,,
0.23888409,,
0.21498398,,
0.23267578,,
0.21431363,,
0.21825798,,
0.22266485,,
0.21982141,,
0.22417599,,
0.22501373,,
0.2224058,,
0.23176645,,
0.20535477,,
0.21006434,,
0.22205658,,
0.22836208,,
0.21199542,,
0.21156216,,
0.22575885,,
0.21884632,,
0.22271834,,
0.21948695,,
0.23973863,,
0.216437,,
0.23188834,,
0.21763164,,
0.22119743,,
0.2089607,,
0.2231874,,
0.23486154,,
0.21861391,,
0.2283463,,
0.20610853,,
0.20661008,,
0.21678434,,
0.20979358,,
0.21752836,,
0.22368516,,
0.2126062,,
0.22489333,,
0.20387946,,
0.22742629,,
0.2099189,,
0.20720737,,
0.21225685,,
0.22321951,,
0.21343817,,
0.22728543,,
0.23887436,,
0.20938659,,
0.21156828,,
0.2201755,,
0.218845,,
0.2054116,,
0.21805608,,
0.23276842,,
0.22147833,,
0.21651089,,
0.23659074,,
0.2090043,,
0.21964085,,
0.23210579,,
0.23308893,,
0.21665257,,
0.20313208,,
0.22561818,,
0.21381558,,
0.20907764,,
0.22530633,,
0.22708069,,
0.21358132,,
0.22113575,,
0.21229051,,
0.22523542,,
0.21887136,,
0.22601603,,
0.21072485,,
0.22444999,,
0.20715742,,
0.21412241,,
0.23249072,,
0.23948741,,
0.22823781,,
0.20718233,,
0.22078449,,
0.21922071,,
0.21098252,,
0.22511005,,
0.21688092,,
0.2284224,,
0.22003144,,
0.21323453,,
0.21327333,,
0.22365384,,
0.22146921,,
0.2157929,,
0.21433866,,
0.22514783,,
0.21546657,,
0.23175764,,
0.2347074,,
0.22705531,,
0.22374552,,
0.21462916,,
0.20899378,,
0.21746914,,
0.22524345,,
0.22440676,,
0.20370848,,
0.20742257,,
0.23397791,,
0.20289035,,
0.2193559,,
0.20415165,,
0.21230422,,
0.23561709,,
0.22592425,,
0.21909487,,
0.23405772,,
0.23089223,,
0.2260201,,
0.21465474,,
0.21514106,,
0.21851282,,
0.20806627,,
0.22186755,,
0.21421689,,
0.2096821,,
0.22873668,,
0.21333088,,
0.22358096,,
0.22067952,,
0.20790493,,
0.2071259,,
0.21377473,,
0.23611577,,
0.22217883,,
0.2071174,,
0.21861152,,
0.20805335,,
0.22747521,,
0.2253926,,
0.20220329,,
0.21812947,,
0.21880531,,
0.20654178,,
0.22176342,,
0.23360741,,
0.20237382,,
0.22973733,,
0.21159275,,
0.21199976,,
0.2238093,,
