loss,loss_v,anomalous_test_data_loss
0.0054879175,0.021034544,0.015314948
0.02250287,0.002617928,0.0227983
0.014831164,0.006728439,0.021404957
0.008101349,0.0067248647,0.017774433
0.0142771145,0.010619092,0.031009467
0.0019808756,0.0039517577,0.017762702
0.0038493776,0.008499393,0.014250836
0.004615125,0.0035443408,0.015937958
0.016751332,0.00469633,0.024470916
0.018817365,0.012912585,0.17087215
0.01240231,0.0031033338,0.017945819
0.006623591,0.0051725563,0.030390278
0.014384485,,0.019666454
0.004774108,,0.023207804
0.004360225,,0.015460451
0.004170091,,0.018256566
0.0042468417,,0.01637733
0.00654377,,0.018286804
0.0060572494,,0.02835636
0.004274897,,0.024470916
0.0032563575,,0.03144827
0.0024114405,,0.015627524
0.005171142,,0.020834362
0.006824108,,0.011463255
0.00578994,,0.016196966
0.003323673,,0.024454817
0.0075231153,,0.018566487
0.011675842,,0.02311791
0.0043348386,,0.022445867
0.0037054222,,0.024593137
0.0151129775,,0.024959637
0.0057657193,,0.023950472
0.0030916363,,0.018654551
0.0038168884,,0.12409053
0.0046762885,,0.019939905
0.006954447,,0.0149676455
0.005505577,,0.014329736
0.0041739345,,0.019985097
0.0044500916,,0.027778491
0.0062581524,,0.019795554
0.0035295049,,0.028577074
0.013216511,,0.039271247
0.0054541416,,0.018173771
0.008334968,,0.03206797
0.01940631,,0.01740923
0.010611892,,0.12821077
0.0044215317,,0.015853396
0.0036564786,,0.017886909
0.0043799803,,0.0323804
0.003010576,,0.029057143
0.0057029123,,0.020860003
0.0042252634,,0.021002857
0.0261399,,0.015062783
0.010998514,,0.020226056
0.009802847,,0.0264573
0.003453575,,0.021793708
0.0040893015,,0.018944342
0.024870522,,0.019720877
0.014842025,,0.024385685
0.005919842,,0.016373737
0.0034992928,,0.018859433
0.009524969,,0.015505128
0.019078525,,0.032872397
0.021857684,,0.018482614
0.017618323,,0.016177466
0.01424176,,0.026699906
0.011887337,,0.016442647
0.0036600605,,0.019071179
0.003733242,,0.017817905
0.0038384497,,0.019399188
0.003692114,,0.017885411
0.0033592042,,0.006477896
0.0029125744,,0.017782057
0.0048377602,,0.01987375
0.004688849,,0.01490886
0.00428886,,0.023694307
0.018851466,,0.021224359
0.015397687,,0.015046063
0.011151031,,0.028652295
0.004934977,,0.017364977
0.008410345,,0.031841815
0.018861158,,0.026516506
0.002570049,,0.026661364
0.006928271,,0.030217202
0.008092987,,0.018270288
0.0058708717,,0.018297521
0.0041225627,,0.023519158
0.005189923,,0.01683821
0.0034477615,,0.01473653
0.016939381,,0.02624093
0.015813721,,0.02697079
0.005202387,,0.01511886
0.006082133,,0.02656096
0.0030233432,,0.02631668
0.022056157,,0.019078549
0.00245974,,0.0170467
0.014514811,,0.015947558
0.0037713768,,0.026097676
0.009194046,,0.019165132
0.003503313,,0.037576288
0.013508777,,0.019248655
0.0033050636,,0.03677646
0.007357432,,0.019276544
0.0057403664,,0.014364384
0.0044471878,,0.082082435
0.0035447692,,0.023098348
0.002131263,,0.023825072
0.0055052303,,0.019206332
0.0064124335,,0.019800557
0.010688718,,0.01749233
0.0034003938,,0.019742945
0.004047425,,0.020460086
0.008970679,,0.01465484
0.018373335,,0.016125275
0.0037833268,,0.018036617
0.003519117,,0.01928571
,,0.027982652
,,0.0175582
,,0.019014623
,,0.01873672
,,0.016661422
,,0.024055956
,,0.019035617
,,0.017656963
,,0.018777179
,,0.015678158
,,0.023382952
,,0.022459127
,,0.022550864
,,0.013272405
,,0.03078474
,,0.03487998
,,0.01793866
,,0.017426454
,,0.03597831
,,0.08148206
,,0.02026369
,,0.021223309
,,0.030830288
,,0.020394
,,0.0235985
,,0.030522684
,,0.018526928
,,0.033315636
,,0.03806505
,,0.020314531
,,0.019843392
,,0.01774495
,,0.020377012
,,0.011773013
,,0.022364365
,,0.019612659
