loss,loss_v,anomalous_test_data_loss
0.0037797613,0.029686099,0.015556075
0.0060354453,0.009356796,0.022896668
0.0033371353,0.0053039026,0.02195741
0.003151274,0.020921871,0.018196194
0.0032832732,0.010925689,0.031947013
0.009819456,0.0044481363,0.018177385
0.004865169,0.0028576122,0.014468703
0.0048795156,0.0076451194,0.016318487
0.0037157508,0.0020764444,0.025127897
0.009492545,0.0056731384,0.1737641
0.009755572,0.0095522925,0.016589979
0.015079074,0.010459285,0.03133441
0.004020743,0.0072811674,0.020201202
0.014480961,0.0029247378,0.024002677
0.0046267333,0.008635752,0.015809594
0.007619995,0.0032988933,0.018705532
0.0043369085,0.023084966,0.01677083
0.0033744348,0.004680312,0.018734656
0.005139218,0.0039822287,0.029170612
0.00437938,0.0035935948,0.025127897
0.011786043,0.004951141,0.032352787
0.002592236,0.009659998,0.015967755
0.023417456,0.014692518,0.021304497
0.022065165,0.004956152,0.011220752
0.008813626,0.009176766,0.016568517
0.0058239284,0.003757611,0.024106458
0.0047918973,0.010887813,0.019085225
0.0030159457,0.007998391,0.022197356
0.0060120053,0.007411322,0.02302142
0.006249245,0.003334459,0.025232835
0.018476456,0.0032449728,0.025796533
0.008168253,0.0027612473,0.02473068
0.044043448,0.01458266,0.019220905
0.0031110959,0.00761627,0.13631982
0.011931911,0.009010406,0.020377494
0.004665289,0.004130428,0.015185052
0.0034355733,0.0022854882,0.014478229
0.006053842,0.0105420565,0.020381982
0.011736468,0.0045485795,0.028700793
0.004266134,0.0030037274,0.020231305
0.007131374,0.012189346,0.029473761
0.010099604,0.008868935,0.03909565
0.0044103847,0.0044730087,0.018616322
0.014098812,0.003022991,0.03314903
0.010339577,0.0034522691,0.017897723
0.010662078,0.009669584,0.13110863
0.029641986,0.0027683515,0.01619593
0.005962869,0.00337924,0.01831294
0.004673319,0.027123982,0.033383403
0.004579195,0.008245792,0.029948117
0.008605042,0.007232946,0.021413775
0.005249684,0.015508994,0.02150189
0.00548248,0.004649408,0.0153930215
0.024627024,0.004258335,0.020747416
0.0030655323,0.021379262,0.025396103
0.0075885286,0.0067997514,0.022502298
0.006802158,0.0043654502,0.019441398
0.003013378,0.0023855371,0.020109477
0.0042263223,0.0063929725,0.025057035
0.005803464,0.003387479,0.016712487
0.007400185,0.0031792813,0.019392142
0.005653687,0.027559077,0.015792588
0.004954953,0.022958452,0.03393222
0.00329326,0.005797519,0.018938838
0.0061174333,0.0045002922,0.016524188
0.0045145247,0.02736117,0.027524589
0.0027787676,0.0025904814,0.016851662
0.0027423047,0.0034979554,0.019636014
0.012784578,0.0032104023,0.018302798
0.005149743,0.0043771784,0.019994803
0.003702676,0.006988585,0.018262736
0.0038219162,0.011813588,0.0055983923
0.004180994,0.0038184652,0.018283084
0.0046506044,0.0030050196,0.02032545
0.0228903,0.0027446495,0.015072434
0.0050382395,0.012664127,0.024335958
0.014084791,0.0024696398,0.020574486
0.0032039385,0.0032554723,0.015259482
0.010687972,0.003895539,0.033391036
0.0063453563,0.0047865133,0.017753953
0.021505639,0.010504208,0.032073535
0.021608256,0.008008749,0.027231365
0.00751354,0.01335008,0.027511587
0.007900328,0.011705314,0.031072987
0.008456018,0.004776927,0.018787043
0.003686187,0.0040782653,0.018841168
0.0130800055,0.005050073,0.02430804
0.012722537,0.02559443,0.017167917
0.0072026365,0.008899607,0.015007
0.012567771,0.0054787328,0.027207792
0.004345369,0.007759635,0.027891262
0.009233485,0.0021601762,0.015400742
0.004041937,0.0033233156,0.027470177
0.00657062,0.00473715,0.027090864
0.010637626,0.003378773,0.019477399
0.004424612,0.0030205727,0.01739949
0.003707301,0.0028962914,0.01626799
0.019326137,0.01168795,0.026832012
0.012638829,0.002268566,0.019722274
0.0030268198,0.034895737,0.038780138
0.016106421,0.0038356206,0.01975616
0.004588911,0.0023083116,0.03793784
0.0051830183,,0.019751595
0.011371128,,0.014604974
0.014989975,,0.082809664
0.0027403824,,0.023897221
0.0073505533,,0.023984337
0.0026823448,,0.019696236
0.00661434,,0.020345017
0.003579635,,0.017895015
0.0036503153,,0.02029329
0.0031848587,,0.021049073
0.0025638172,,0.014844492
0.004028488,,0.01645689
0.0047041695,,0.018525692
0.014694302,,0.019803988
0.004604541,,0.028955339
0.0036279475,,0.01794085
0.00841956,,0.019416085
0.0041916477,,0.01928609
0.0023434516,,0.016968763
0.012748353,,0.02487315
0.009233064,,0.019491108
0.0045245527,,0.018052975
0.0020451637,,0.019256016
0.0040298183,,0.016030481
0.008642049,,0.024174817
0.0049533276,,0.023113668
0.0040308665,,0.023261907
0.01374242,,0.013231275
0.015478796,,0.031768046
0.002901961,,0.03590775
0.0038138162,,0.018361311
0.002944435,,0.017895618
0.003282467,,0.036927328
0.0046210266,,0.097348936
0.0073126857,,0.01905637
0.0030435678,,0.021714924
0.00347401,,0.031850502
0.0022479994,,0.020874208
0.004288388,,0.02441779
0.0046664695,,0.031644884
0.0029695232,,0.018832952
0.0050396863,,0.034344338
0.0028089487,,0.037950456
0.0021594889,,0.020758448
0.0028546231,,0.020460518
0.0025781463,,0.018151686
0.00986212,,0.020947454
0.004144773,,0.010150169
0.0036626568,,0.025098758
0.0040825824,,0.020149047
0.016218683,,
0.0035279312,,
0.005053855,,
0.009222784,,
0.0026010533,,
0.005692719,,
0.004606576,,
0.011647425,,
0.008705182,,
0.015336852,,
0.008229922,,
0.0050279987,,
0.025445303,,
0.0037801436,,
0.028995274,,
0.01923632,,
0.004621149,,
0.0051311417,,
0.016370097,,
0.004471721,,
0.007025156,,
0.0031120908,,
0.0020732328,,
0.0058728564,,
0.002838195,,
0.0041568987,,
0.007194493,,
0.0044372664,,
0.0039162296,,
0.004541352,,
0.0025586237,,
0.0022711267,,
0.009716404,,
0.0086757485,,
0.002972652,,
0.00437399,,
0.003522041,,
0.0043679043,,
0.0061187358,,
0.010076801,,
0.0057897805,,
0.02734656,,
0.02117203,,
0.0047647986,,
0.0024758892,,
0.0032356966,,
0.043272484,,
0.0023912638,,
0.013081423,,
0.0029289806,,
0.0049951444,,
0.00506682,,
0.006265663,,
0.0053989147,,
0.005341235,,
0.00579501,,
0.017313013,,
0.007944692,,
0.0064815804,,
0.0040671527,,
0.005142517,,
0.0037627078,,
0.0075984243,,
0.0031637803,,
0.0076495097,,
0.003732906,,
0.010340814,,
0.02586311,,
0.004847693,,
0.0045607495,,
0.0026222595,,
0.00784359,,
0.0046105976,,
0.007253049,,
0.0034940143,,
0.003922408,,
0.016352827,,
0.0038420605,,
0.004293484,,
0.0028437264,,
0.0035085315,,
0.003596847,,
0.004430231,,
0.0033644196,,
0.017442852,,
0.00515949,,
0.0036844984,,
0.0042968458,,
0.009343556,,
0.010660879,,
0.0071268366,,
0.0026053714,,
0.012275216,,
0.0040593757,,
0.006894003,,
0.007154485,,
0.0023460162,,
0.004300743,,
0.0055385847,,
0.0038074674,,
0.0066453894,,
0.0038738803,,
0.013074256,,
0.011939865,,
0.005188814,,
0.005724058,,
0.0031264024,,
0.010642302,,
0.00270401,,
0.004765111,,
0.01104978,,
0.017083945,,
0.0037068382,,
0.0035343778,,
0.016521575,,
0.0063055065,,
0.0107418755,,
0.003388607,,
0.013197041,,
0.0112971775,,
0.011431075,,
0.0074683432,,
0.012952265,,
0.0050919126,,
0.0031197276,,
0.0031616017,,
0.0036034277,,
0.0038139923,,
0.0101673985,,
0.01043478,,
0.0052244556,,
0.0020031403,,
0.0042211693,,
0.010304625,,
0.012392073,,
0.0070928116,,
0.0020622434,,
0.004286393,,
0.007827021,,
0.0035729262,,
0.010833672,,
0.0029955872,,
0.004404845,,
0.0041383267,,
0.007913771,,
0.002007773,,
0.012527098,,
0.005856717,,
0.004031926,,
0.0025766292,,
0.0031344125,,
0.0029886637,,
0.00204064,,
0.0044118757,,
0.0040141377,,
0.011910328,,
0.0075672213,,
0.0031396684,,
0.004057692,,
0.0059083346,,
0.0018222827,,
0.0031800633,,
0.005744033,,
0.0034710069,,
0.0086128665,,
0.010609307,,
0.018857041,,
0.008066734,,
0.010060452,,
0.010410976,,
0.0047924453,,
0.002294036,,
0.002603878,,
0.003299048,,
0.0032868693,,
0.011294329,,
0.004957372,,
0.005481913,,
0.0020936,,
0.0031585435,,
0.0038836591,,
0.010428891,,
0.0033361616,,
0.004722906,,
0.005008341,,
0.009047634,,
0.0020506547,,
0.017175574,,
0.008364218,,
0.01290257,,
0.004680348,,
0.0031677336,,
0.004342564,,
0.0068002674,,
0.0083730705,,
0.0072764237,,
0.004976679,,
0.005461121,,
0.005988151,,
0.0029308668,,
0.002268152,,
0.008237397,,
0.00476931,,
0.005920202,,
0.010940325,,
0.006480833,,
0.0044474886,,
0.003840219,,
0.02108559,,
0.0068225977,,
0.0049330476,,
0.0076741152,,
0.0057142638,,
0.0055827145,,
0.0036551894,,
0.005893082,,
0.0050813803,,
0.010720007,,
0.004400317,,
0.009134366,,
0.0031113552,,
0.011441628,,
0.014638667,,
0.0040139738,,
0.018009664,,
0.0062087667,,
0.0054406007,,
0.009010439,,
0.0048376066,,
0.010426134,,
0.010203247,,
0.004561943,,
0.0044625863,,
0.0036518404,,
0.006624188,,
0.017116621,,
0.003465767,,
0.004354508,,
0.0033691858,,
0.0030845823,,
0.013345069,,
0.0035034234,,
0.0027229295,,
0.0048783883,,
0.0023625272,,
0.009505122,,
0.0033297364,,
0.026854647,,
0.0034855586,,
0.005585743,,
0.0031721618,,
0.007816338,,
0.0035851207,,
0.0032827042,,
0.009035497,,
0.0036957858,,
0.015886236,,
0.0036537477,,
0.006694988,,
0.009845872,,
0.008805049,,
0.008155389,,
0.0033462078,,
0.0052124,,
0.0038138097,,
0.0057915584,,
0.0031751369,,
0.0044924757,,
0.02765119,,
0.0025133118,,
0.0060867867,,
0.008529752,,
0.004284453,,
0.002553549,,
0.0061349287,,
0.0033086215,,
0.010019672,,
0.0047638086,,
0.0029265657,,
0.0115891695,,
0.0036404065,,
0.004303803,,
0.01651672,,
0.003169101,,
0.004026163,,
0.01313657,,
0.003836023,,
0.007083708,,
0.0027823476,,
0.004248932,,
0.017306415,,
0.0030668536,,
0.02134878,,
0.0049379985,,
0.015777765,,
0.004047746,,
0.0018264352,,
0.0025587108,,
0.015282714,,
0.021416655,,
0.016206142,,
0.013985213,,
0.0046070707,,
0.008872054,,
0.0030767955,,
0.004090658,,
0.0067943926,,
0.003872036,,
0.009405269,,
0.011204828,,
0.02021072,,
0.004341851,,
0.0053212675,,
0.0041681975,,
0.003536307,,
0.018911198,,
0.003369626,,
0.00401147,,
0.002835144,,
0.009698307,,
0.004192915,,
0.0030775405,,
0.0071384744,,
0.006532807,,
0.0039329533,,
0.0017365635,,
0.0034735685,,
0.003017893,,
0.013260388,,
0.008770623,,
0.004173383,,
0.009716178,,
0.0037000084,,
0.003920232,,
0.002114345,,
0.004637689,,
0.004961207,,
0.005509742,,
0.005326161,,
0.0023110884,,
0.0024749842,,
0.0038305307,,
0.01798047,,
0.0034351535,,
0.0054241405,,
0.0066133253,,
0.009477458,,
0.0068076574,,
0.0032579731,,
0.005488632,,
0.002841676,,
0.0073288083,,
0.0029328968,,
0.0052571273,,
0.0044128713,,
0.014271515,,
0.002956818,,
0.0021961497,,
0.018716736,,
0.0029398315,,
0.012525592,,
0.006182511,,
0.0029256174,,
0.008450142,,
0.014938474,,
0.004782763,,
0.01841907,,
0.004198895,,
0.004070747,,
0.005510094,,
0.006554648,,
0.0040219347,,
0.011867122,,
0.002682022,,
0.0025296898,,
0.01767573,,
0.020035597,,
0.004604327,,
0.0035105438,,
0.0034298003,,
0.003957379,,
0.006383134,,
0.003545698,,
0.004283109,,
0.009680093,,
0.011241981,,
0.0036068277,,
0.0029817515,,
0.003259253,,
0.0074607744,,
0.0038576964,,
0.00392433,,
0.0024873475,,
0.0065780557,,
0.0113305645,,
0.0041552093,,
0.010885846,,
0.009296939,,
0.0037235923,,
0.009121675,,
0.0031134419,,
0.0024672158,,
